1616768708864|23|2|Rafael Coss|105|Saint Louis to Memphis|37.47485808497102|-89.71435546875|84|Normal|0|0|0|51                                                          
1616768708865|18|4|Ana Castro|107|Springfield to Kansas City Via Columbia|38.831149809348744|-90.791015625|75|Normal|0|0|1|52                                           
1616768708902|27|1|Edgar Orendain|108|Springfield to Kansas City Via Hanibal|39.7240885773337|-90.24169921875|75|Normal|0|0|0|48                                        
1616768708952|49|3|James Medel|106|Saint Louis to Tulsa|38.46219172306828|-90.85693359375|51|Normal|0|0|1|49                                                            
1616768709794|6|8|Robert Molina|101|Joplin to Kansas City|38.33303882235456|-94.3505859375|51|Normal|0|0|0|52                                                           
1616768709832|10|6|Robert Hryniewicz|103|Peoria to Cedar Rapids|41.72213058512578|-91.0546875|61|Normal|1|0|0|53                                                        
1616768709852|25|5|George De Leon|104|Saint Louis to Chicago|41.11246878918085|-88.41796875|57|Normal|1|0|0|48                                                          
1616768709871|4|7|Mushtaq Rizvi|102|Memphis to Little Rock|34.831841149828676|-91.38427734375|63|Normal|0|0|1|51                                                        
1616768709873|18|4|Ana Castro|107|Springfield to Kansas City Via Columbia|38.8225909761771|-90.933837890625|73|Normal|0|0|0|51                                          
1616768709881|23|2|Rafael Coss|105|Saint Louis to Memphis|37.19533058280065|-89.560546875|82|Normal|0|0|0|50                                                            
1616768709934|27|1|Edgar Orendain|108|Springfield to Kansas City Via Hanibal|39.7240885773337|-90.24169921875|73|Normal|0|0|0|47                                        
1616768709971|49|3|James Medel|106|Saint Louis to Tulsa|38.30718056188315|-91.065673828125|51|Normal|0|0|0|48                                                           
1616768710812|6|8|Robert Molina|101|Joplin to Kansas City|38.66835610151509|-94.383544921875|53|Normal|0|0|0|53                                                         
1616768710834|10|6|Robert Hryniewicz|103|Peoria to Cedar Rapids|41.705728515237524|-91.318359375|63|Normal|0|0|0|53                                                     
1616768710872|25|5|George De Leon|104|Saint Louis to Chicago|41.475660200278234|-88.06640625|57|Normal|0|0|1|49                                                         
1616768710872|4|7|Mushtaq Rizvi|102|Memphis to Little Rock|34.88593094075317|-91.73583984375|63|Normal|1|0|1|49                                                         
1616768710889|18|4|Ana Castro|107|Springfield to Kansas City Via Columbia|38.831149809348744|-91.0986328125|71|Normal|0|0|0|51                                          
1616768710931|23|2|Rafael Coss|105|Saint Louis to Memphis|36.84446074079564|-89.53857421875|82|Normal|0|0|0|51                                                          
1616768710941|27|1|Edgar Orendain|108|Springfield to Kansas City Via Hanibal|39.707186656826565|-90.37353515625|73|Normal|0|0|0|48                                      
1616768711013|49|3|James Medel|106|Saint Louis to Tulsa|38.22091976683121|-91.175537109375|49|Normal|0|0|0|49                                                           
1616768711793|6|8|Robert Molina|101|Joplin to Kansas City|38.98503278695909|-94.383544921875|55|Normal|0|0|0|53                                                         
1616768711861|4|7|Mushtaq Rizvi|102|Memphis to Little Rock|34.813803317113155|-91.93359375|61|Normal|0|0|0|51                                                           
1616768711893|18|4|Ana Castro|107|Springfield to Kansas City Via Columbia|38.831149809348744|-91.1865234375|69|Normal|0|0|0|51                                          
1616768711902|10|6|Robert Hryniewicz|103|Peoria to Cedar Rapids|41.73852846935917|-91.47216796875|63|Normal|0|0|1|53                                                    
1616768711925|27|1|Edgar Orendain|108|Springfield to Kansas City Via Hanibal|39.707186656826565|-90.516357421875|75|Normal|0|0|0|49                                     
1616768711936|23|2|Rafael Coss|105|Saint Louis to Memphis|36.36822190085111|-89.6484375|82|Normal|0|0|1|50                                                              
1616768711941|25|5|George De Leon|104|Saint Louis to Chicago|41.86956082699455|-87.6708984375|59|Normal|0|0|0|48                                                        
1616768712045|49|3|James Medel|106|Saint Louis to Tulsa|38.14319750166766|-91.29638671875|47|Normal|0|0|0|50                                                            
1616768712781|6|8|Robert Molina|101|Joplin to Kansas City|39.0959629363055|-94.59228515625|57|Normal|0|0|0|52                                                           
1616768712875|4|7|Mushtaq Rizvi|102|Memphis to Little Rock|34.795761534730325|-92.08740234375|61|Normal|0|0|0|51                                                        
1616768712891|10|6|Robert Hryniewicz|103|Peoria to Cedar Rapids|41.72213058512578|-91.6259765625|65|Normal|0|0|0|52                                                     
1616768712935|18|4|Ana Castro|107|Springfield to Kansas City Via Columbia|38.87392853923629|-91.329345703125|67|Normal|0|0|1|52                                         
1616768712962|27|1|Edgar Orendain|108|Springfield to Kansas City Via Hanibal|39.69873414348139|-90.626220703125|77|Normal|0|1|0|49                                      
